Retail Pharmacy Partner Name,Address 1,City,County,State,Zip Code,Vaccine,Date,Doses,Georeferenced Latitude & Longitude
Giant Eagle Inc.,7 Cottonwood Street,Northern Cambria,Cambria,PA,15714,Moderna Vaccine,08/17/2021,140,POINT (-78.783068 40.661124)
Cvs Store #07132,3015 E. Lincoln Highway,Thorndale,Chester,PA,19372,Moderna Vaccine,08/17/2021,140,POINT (-75.763841 39.993025)
Cvs Store #16617,1717 Lebanon Church Rd,Pittsburgh,Allegheny,PA,15236,Moderna Vaccine,08/17/2021,140,POINT (-79.953168 40.347337)
Walgreens Store #07196,710 N Wales Rd,North Wales,Montgomery,PA,19454,Moderna Vaccine,08/17/2021,140,POINT (-75.243898 40.240656)
Rite Aid 10980,1759 Goucher Street,Johnstown,Cambria,PA,15905,Pfizer Vaccine,08/17/2021,450,POINT (-78.954156 40.322802)
Rite Aid 11055,1650 North Cedar Crest Blvd.,Allentown,Lehigh,PA,18104,Pfizer Vaccine,08/17/2021,450,POINT (-75.533683 40.614552)
Kety Inc Dba The Hometown Pharmacy,3589 Brodhead Rd,Monaca,Beaver,PA,15061,Moderna Vaccine,08/17/2021,140,POINT (-80.31634 40.658601)
Rite Aid 10942,410 Cooke Lane,Pittsburgh,Allegheny,PA,15234,Pfizer Vaccine,08/17/2021,450,POINT (-80.032551 40.370117)
The Giant Company Store # 6319,202 Chestnut Street,Coplay,Lehigh,PA,18037,Moderna Vaccine,08/17/2021,140,POINT (-75.493657 40.673844)
Rite Aid 10901,351 Brighton Avenue,Rochester,Beaver,PA,15074,Pfizer Vaccine,08/17/2021,450,POINT (-80.286902 40.702458)
Cvs Store #10045,2239 Perkiomen Ave.,Reading,Berks,PA,19606,Pfizer Vaccine,08/17/2021,450,POINT (-75.892787 40.327858)
The Giant Company Store # 6287,1000 Scott Town Center,Bloomsburg,Columbia,PA,17815,Moderna Vaccine,08/17/2021,140,POINT (-76.435938 41.005763)
Rite Aid 11081,556 Union Street,Luzerne,Luzerne,PA,18709,Moderna Vaccine,08/17/2021,280,POINT (-75.897116 41.283352)
Rite Aid 10929,3730 Brighton Road,Pittsburgh,Allegheny,PA,15212,Pfizer Vaccine,08/17/2021,450,POINT (-80.035714 40.484011)
Rite Aid 01976,207 Route 6 West,Coudersport,Potter,PA,16915,Moderna Vaccine,08/17/2021,280,POINT (-78.029963 41.7671)
Walmart Pharmacy #1794,100 Lunger Dr,Bloomsburg,Columbia,PA,17815,Moderna Vaccine,08/17/2021,140,POINT (-76.488314 41.011179)
Pharmerica - Greensburg,4000 Hempfield Plaza Blvd.,Greensburg,Westmoreland,PA,15601,Moderna Vaccine,08/17/2021,140,POINT (-79.582096 40.30995)
Rite Aid 10891,843 Rostraver Road,Belle Vernon,Westmoreland,PA,15012,Moderna Vaccine,08/17/2021,280,POINT (-79.842985 40.13649)
Rite Aid 04818,4965 Carlisle Pike,Mechanicsburg,Cumberland,PA,17050,Pfizer Vaccine,08/17/2021,450,POINT (-76.971302 40.237187)
Rite Aid 00927,231 West Street,Gettysburg,Adams,PA,17325,Moderna Vaccine,08/17/2021,280,POINT (-77.236645 39.828252)
The Giant Company Store # 6541,176 W Street Rd,Feasterville Trevose,Bucks,PA,19053,Moderna Vaccine,08/17/2021,140,POINT (-75.00797 40.153902)
Rite Aid 00200,1130 Cumberland Street,Lebanon,Lebanon,PA,17042,Pfizer Vaccine,08/17/2021,450,POINT (-76.430455 40.338855)
Rite Aid 11025,65 Newberry Parkway,Etters,York,PA,17319,Pfizer Vaccine,08/17/2021,450,POINT (-76.805528 40.159826)
Cvs Store #01641,1600 Alexandra Lane,Harrisburg,Dauphin,PA,17110,Moderna Vaccine,08/17/2021,280,POINT (-76.842048 40.334691)
Rite Aid 06739,1365 Logan Avenue,Tyrone,Blair,PA,16686,Pfizer Vaccine,08/17/2021,450,POINT (-78.237732 40.67559)
Cvs Store #05081,101 W City Avenue,Bala Cynwyd,Montgomery,PA,19004,Pfizer Vaccine,08/17/2021,450,POINT (-75.231498 39.998858)
Cvs Store #17379,1200 Baltimore Pike,Springfield,Delaware,PA,19064,Moderna Vaccine,08/17/2021,140,POINT (-75.349462 39.913567)
Cvs Store #05914,445 West Street Rd.,Warminster,Bucks,PA,18974,Pfizer Vaccine,08/17/2021,450,POINT (-75.093536 40.203148)
Cvs Store #00461,3010 Tilghman Street,Allentown,Lehigh,PA,18104,Pfizer Vaccine,08/17/2021,450,POINT (-75.524957 40.598436)
Cvs Store #02110,670 Welsh Rd.,Huntingdon Valley,Montgomery,PA,19006,Moderna Vaccine,08/17/2021,140,POINT (-75.068244 40.120215)
Rite Aid 01495,101 East Shirley Street,Mt Union,Huntingdon,PA,17066,Pfizer Vaccine,08/17/2021,450,POINT (-77.879633 40.382688)
The Giant Company Store # 6050,2641 Shillington Road,Reading,Berks,PA,19608,Moderna Vaccine,08/17/2021,140,POINT (-75.999988 40.315464)
Rite Aid 01709,15 Centennial Way,Scottdale,Westmoreland,PA,15683,Pfizer Vaccine,08/17/2021,450,POINT (-79.587061 40.101509)
Rite Aid 06839,307 E Market Street,Clearfield,Clearfield,PA,16830,Pfizer Vaccine,08/17/2021,450,POINT (-78.436017 41.02207)
Rite Aid 01925,210 9th Street,Glassport,Allegheny,PA,15045,Pfizer Vaccine,08/17/2021,450,POINT (-79.892061 40.321055)
Rite Aid 03273,1201 South Bethlehem Pike,Ambler,Montgomery,PA,19002,Pfizer Vaccine,08/17/2021,450,POINT (-75.214061 40.15785)
Cvs Store #02729,351 Kennedy Blvd,Pittston,Luzerne,PA,18640,Moderna Vaccine,08/17/2021,140,POINT (-75.793089 41.321175)
Rite Aid 00293,599 York Road,Warminster,Bucks,PA,18974,Pfizer Vaccine,08/17/2021,450,POINT (-75.099961 40.205642)
Giant Eagle Inc.,51 Walsh Road,Pittsburgh,Allegheny,PA,15205,Moderna Vaccine,08/17/2021,140,POINT (-80.070881 40.439901)
Cvs Store #16498,201 Sunrise Blvd,Exton,Chester,PA,19341,Moderna Vaccine,08/17/2021,140,POINT (-75.630557 40.038456)
Giant Eagle Inc.,9805 Mcknight Rd,Pittsburgh,Allegheny,PA,15237,Moderna Vaccine,08/17/2021,140,POINT (-80.037336 40.585802)
Giant Eagle Inc.,4007 Washington Rd.,Canonsburg,Washington,PA,15317,Moderna Vaccine,08/17/2021,140,POINT (-80.128156 40.270513)
Cvs Store #02730,342 N. Lewis Rd.,Royersford,Montgomery,PA,19468,Pfizer Vaccine,08/17/2021,450,POINT (-75.535724 40.197007)
The Medicine Shoppe 2057,101 W Lancaster Ave,Reading,Berks,PA,19607,Moderna Vaccine,08/17/2021,140,POINT (-75.970027 40.304008)
Cvs Store #17160,2385 Covered Bridge Dr,Lancaster,Lancaster,PA,17602,Moderna Vaccine,08/17/2021,140,POINT (-76.20317 40.026128)
Rite Aid 10964,200 Memorial Blvd.,Connellsville,Fayette,PA,15425,Pfizer Vaccine,08/17/2021,450,POINT (-79.594845 40.023579)
Cvs Store #17266,4600 High Pointe Blvd,Harrisburg,Dauphin,PA,17111,Moderna Vaccine,08/17/2021,140,POINT (-76.801918 40.243416)
Rite Aid 01415,929 South High Street,West Chester,Chester,PA,19382,Pfizer Vaccine,08/17/2021,450,POINT (-75.591245 39.941891)
Cvs Store #01583,1 North Main Street,Shickshinny,Luzerne,PA,18655,Moderna Vaccine,08/17/2021,140,POINT (-76.150043 41.15335)
Walmart Pharmacy #5888,3400 Hartzdale Dr,Camp Hill,Cumberland,PA,17011,Moderna Vaccine,08/17/2021,140,POINT (-76.925736 40.224847)
Rite Aid 04260,4299 Union Deposit Road,Harrisburg,Dauphin,PA,17111,Pfizer Vaccine,08/17/2021,450,POINT (-76.814476 40.27901)
Cvs Store #01679,"197 North Main St., Mansfield Plaza",Mansfield,Tioga,PA,16933,Pfizer Vaccine,08/17/2021,450,
The Giant Company Store # 6336,3926 Linden Street,Bethlehem,Northampton,PA,18020,Moderna Vaccine,08/17/2021,140,POINT (-75.344906 40.674166)
The Giant Company Store # 6052,993 Wayne Avenue,Chambersburg,Franklin,PA,17201,Moderna Vaccine,08/17/2021,140,POINT (-77.653154 39.914057)
Rite Aid 02476,101 Main Street,Ridgway,Elk,PA,15853,Pfizer Vaccine,08/17/2021,450,POINT (-78.733245 41.420713)
Rite Aid 01662,980 East Main Street,Palmyra,Lebanon,PA,17078,Moderna Vaccine,08/17/2021,280,POINT (-76.581228 40.31453)
The Giant Company Store # 6519,4275 County Line Road,Chalfont,Bucks,PA,18914,Moderna Vaccine,08/17/2021,140,POINT (-75.226544 40.26473)
Rite Aid 00561,2968 Elmira Street,Sayre,Bradford,PA,18840,Moderna Vaccine,08/17/2021,280,POINT (-76.546886 41.988951)
Rite Aid 11033,3300 East Market Street,York,York,PA,17402,Pfizer Vaccine,08/17/2021,450,POINT (-76.660617 39.978744)
The Giant Company Store # 6301,3477 Lincoln Highway,Thorndale,Chester,PA,19372,Moderna Vaccine,08/17/2021,140,POINT (-75.754271 39.994629)
Rite Aid 11165,200 Kimberton Road,Phoenixville,Chester,PA,19460,Moderna Vaccine,08/17/2021,280,POINT (-75.535501 40.131689)
Rite Aid 03804,10 Newport Pl,Newport,Perry,PA,17074,Moderna Vaccine,08/17/2021,280,POINT (-77.113785 40.493228)
Rite Aid 11007,1338 East Grandview Blvd.,Erie,Erie,PA,16504,Pfizer Vaccine,08/17/2021,450,POINT (-80.029768 42.1078)
Rite Aid 03609,415 East Queen Street,Chambersburg,Franklin,PA,17201,Pfizer Vaccine,08/17/2021,450,POINT (-77.653984 39.93488)
Weis Markets Inc,100 Weis Ln Suite 68,Hazleton,Luzerne,PA,18202,Moderna Vaccine,08/17/2021,140,POINT (-76.003717 40.965861)
Rite Aid 10956,1121 Bower Hill Road,Pittsburgh,Allegheny,PA,15243,Pfizer Vaccine,08/17/2021,450,POINT (-80.069346 40.375442)
Cvs Store #10250,1198 Scalp Ave.,Johnstown,Cambria,PA,15904,Pfizer Vaccine,08/17/2021,450,POINT (-78.862104 40.279412)
Rite Aid 10960,601 West Pike Street,Canonsburg,Washington,PA,15317,Pfizer Vaccine,08/17/2021,450,POINT (-80.204271 40.257367)
Cvs Store #06916,560 Old York Road,New Cumberland,Cumberland,PA,17070,Moderna Vaccine,08/17/2021,140,POINT (-76.832458 40.176946)
Rite Aid 07781,20480 Route 19,Cranberry Twp,Butler,PA,16066,Pfizer Vaccine,08/17/2021,450,POINT (-80.104444 40.698746)
Rite Aid 00264,375 Philadelphia Street,Indiana,Indiana,PA,15701,Pfizer Vaccine,08/17/2021,450,POINT (-79.145037 40.622848)
The Giant Company Store # 6294,1255 Carlisle Road,York,York,PA,17404,Moderna Vaccine,08/17/2021,140,POINT (-76.768499 39.964257)
Rite Aid 01320,640 Montgomery Avenue,Narberth,Montgomery,PA,19072,Moderna Vaccine,08/17/2021,280,POINT (-75.254365 40.009294)
The Giant Company Store # 6091,1760 Dekalb Pike,Blue Bell,Montgomery,PA,19422,Moderna Vaccine,08/17/2021,140,POINT (-75.307212 40.149205)
Walgreens Store #07224,119 E Dekalb Pike,King Of Prussia,Montgomery,PA,19406,Moderna Vaccine,08/17/2021,140,POINT (-75.36214 40.094837)
Rite Aid 04293,5 Friendly Drive,Duncannon,Perry,PA,17020,Moderna Vaccine,08/17/2021,280,POINT (-77.043773 40.390841)
Weis Markets Inc,924 Weir Lake Rd,Brodheadsville,Monroe,PA,18322,Moderna Vaccine,08/17/2021,140,POINT (-75.4216 40.915974)
Rite Aid 00443,350 Main Street,Pennsburg,Montgomery,PA,18073,Pfizer Vaccine,08/17/2021,450,POINT (-75.497226 40.398741)
Rite Aid 04293,5 Friendly Drive,Duncannon,Perry,PA,17020,Pfizer Vaccine,08/17/2021,450,POINT (-77.043773 40.390841)
Rite Aid 01800,4551 Milford Road,East Stroudsburg,Monroe,PA,18302,Pfizer Vaccine,08/17/2021,450,POINT (-75.111024 41.049263)
Rite Aid 07861,3145 Main Street,Morgantown,Berks,PA,19543,Pfizer Vaccine,08/17/2021,450,POINT (-75.890344 40.15519)
The Giant Company Store # 6539,5005 Jonestown Road,Harrisburg,Dauphin,PA,17109,Moderna Vaccine,08/17/2021,140,POINT (-76.805215 40.306833)
Rite Aid 11158,160 North Gulph Road Ste1088,King Of Prussia,Montgomery,PA,19406,Moderna Vaccine,08/17/2021,280,POINT (-75.391771 40.085626)
Cvs Store #00903,3298 Edgemont Ave.,Brookhaven,Delaware,PA,19015,Moderna Vaccine,08/17/2021,140,POINT (-75.382383 39.869301)
Rite Aid 11113,510 East Baltimore Pike,Media,Delaware,PA,19063,Pfizer Vaccine,08/17/2021,450,POINT (-75.379832 39.915355)
Cvs Store #01270,958 Route 390,Cresco,Monroe,PA,18326,Moderna Vaccine,08/17/2021,140,POINT (-75.272155 41.170046)
Sav-on Pharmacy,2301 Bristol Rd,Cornwells Heights,Bucks,PA,19020,Moderna Vaccine,08/17/2021,140,POINT (-74.923375 40.131044)
Giant Eagle Inc.,4110 Brighton Rd.,Pittsburgh,Allegheny,PA,15212,Moderna Vaccine,08/17/2021,140,POINT (-80.044225 40.489746)
Walmart Pharmacy #5881,400 S State Rd,Springfield,Delaware,PA,19064,Moderna Vaccine,08/17/2021,140,POINT (-75.354118 39.937433)
Rite Aid 01353,25 East Pike Street,Canonsburg,Washington,PA,15317,Pfizer Vaccine,08/17/2021,450,POINT (-80.185583 40.259011)
Rite Aid 01566,327 North Chester Pike,Glenolden,Delaware,PA,19036,Pfizer Vaccine,08/17/2021,450,POINT (-75.283769 39.903185)
Rite Aid 01543,1212 Second Street,Cresson,Cambria,PA,16630,Moderna Vaccine,08/17/2021,280,POINT (-78.591697 40.459863)
The Giant Company Store # 6304,4211 Union Deposit Rd,Harrisburg,Dauphin,PA,17111,Moderna Vaccine,08/17/2021,140,POINT (-76.816096 40.278885)
Omnicare Of King Of Prussia #48333,600 Allendale Rd,King Of Prussia,Montgomery,PA,19406,Moderna Vaccine,08/17/2021,700,POINT (-75.394986 40.098928)
The Giant Company Store # 6335,2641 Macarthur Road,Whitehall,Lehigh,PA,18052,Moderna Vaccine,08/17/2021,140,POINT (-75.493171 40.645387)
Cvs Store #17165,288 Mt Nebo Pointe Dr,Pittsburgh,Allegheny,PA,15237,Moderna Vaccine,08/17/2021,140,POINT (-80.071028 40.533797)
The Giant Company Store # 6316,1550 N Main St,Dickson City,Lackawanna,PA,18447,Moderna Vaccine,08/17/2021,140,POINT (-75.46662 41.662382)
Rite Aid 04287,360 East Main Street,Middletown,Dauphin,PA,17057,Moderna Vaccine,08/17/2021,280,POINT (-76.724895 40.201295)
Rite Aid 03364,1303 Shoemaker Street,Nanty Glo,Cambria,PA,15943,Pfizer Vaccine,08/17/2021,450,POINT (-78.836378 40.467678)
Rite Aid 00200,1130 Cumberland Street,Lebanon,Lebanon,PA,17042,Moderna Vaccine,08/17/2021,280,POINT (-76.430455 40.338855)
Giant Eagle Inc.,6320 Shakespeare St.,Pittsburgh,Allegheny,PA,15206,Moderna Vaccine,08/17/2021,140,POINT (-79.921162 40.458965)
Rite Aid 07832,4155 Ewalt Road,Gibsonia,Allegheny,PA,15044,Pfizer Vaccine,08/17/2021,450,POINT (-79.942924 40.626034)
Rite Aid 11093,1039 2nd Street Pike,Richboro,Bucks,PA,18954,Pfizer Vaccine,08/17/2021,450,POINT (-75.010447 40.216976)
The Giant Company Store # 6289,2104 Van Reed Road,West Lawn,Berks,PA,19609,Moderna Vaccine,08/17/2021,140,POINT (-76.000781 40.342179)
The Giant Company Store # 6485,789 East Main Street,Mount Joy,Lancaster,PA,17552,Moderna Vaccine,08/17/2021,140,POINT (-76.484795 40.109335)
Giant Eagle Inc.,20111 Rt 19,Cranberry Twp,Butler,PA,16066,Moderna Vaccine,08/17/2021,140,POINT (-80.101038 40.683393)
Cvs Store #03799,929 Dekalb Pike,Blue Bell,Montgomery,PA,19422,Pfizer Vaccine,08/17/2021,450,POINT (-75.291631 40.165692)
Old Forge Pharmacy,821 S. Main St.,Old Forge,Lackawanna,PA,18518,Moderna Vaccine,08/17/2021,140,POINT (-75.742459 41.362478)
Rite Aid 01902,2067 Route 116,Spring Grove,York,PA,17362,Pfizer Vaccine,08/17/2021,450,POINT (-76.861319 39.885647)
Rite Aid 00721,304 Market Street,Harrisburg,Dauphin,PA,17101,Moderna Vaccine,08/17/2021,280,POINT (-76.880585 40.260952)
Cvs Store #01787,4950 Freemansburg Ave.,Easton,Northampton,PA,18045,Pfizer Vaccine,08/17/2021,450,POINT (-75.299996 40.649278)
The Giant Company Store # 6046,2721 Street Road,Bensalem,Bucks,PA,19020,Moderna Vaccine,08/17/2021,140,POINT (-74.953274 40.110554)
Rite Aid 00873,500 N Claude A Lord Blvd,Pottsville,Schuylkill,PA,17901,Pfizer Vaccine,08/17/2021,450,POINT (-76.188135 40.697197)
Rite Aid 10972,1008 Latrobe Thirty Plaza,Latrobe,Westmoreland,PA,15650,Moderna Vaccine,08/17/2021,280,POINT (-79.386691 40.287803)
Rite Aid 10987,100 Seven Fields Blvd,Seven Fields,Butler,PA,16046,Pfizer Vaccine,08/17/2021,450,POINT (-80.057013 40.688744)
Sav-on Pharmacy,124 Morton Ave,Folsom,Delaware,PA,19033,Moderna Vaccine,08/17/2021,140,POINT (-75.32933 39.883799)
Giant Eagle Inc.,1451 Scalp Ave.,Johnstown,Cambria,PA,15904,Moderna Vaccine,08/17/2021,140,POINT (-78.858016 40.271493)
Walmart Pharmacy #2008,1566 W Main St Ext,Grove City,Mercer,PA,16127,Pfizer Vaccine,08/17/2021,450,POINT (-80.11335 41.169425)
Rite Aid 02693,44 Kings Village,Minersville,Schuylkill,PA,17954,Pfizer Vaccine,08/17/2021,450,POINT (-76.254027 40.68162)
Rite Aid 11090,519 Constitution Avenue,Perkasie,Bucks,PA,18944,Pfizer Vaccine,08/17/2021,450,POINT (-75.298631 40.36398)
Cvs Store #17577,31 Wilson Ave,Hanover,York,PA,17331,Moderna Vaccine,08/17/2021,140,POINT (-76.997595 39.828839)
Cvs Store #17564,455 Carnegie Blvd,Malvern,Chester,PA,19355,Moderna Vaccine,08/17/2021,140,POINT (-75.520945 40.047968)
Rite Aid 00451,1200 West Market Street,York,York,PA,17404,Pfizer Vaccine,08/17/2021,450,POINT (-76.752557 39.954747)
Rite Aid 10928,623-625 East Ohio Street,Pittsburgh,Allegheny,PA,15212,Pfizer Vaccine,08/17/2021,450,POINT (-79.998374 40.453862)
Cvs Store #02756,2507 W. Chester Pike,Broomall,Delaware,PA,19008,Moderna Vaccine,08/17/2021,140,POINT (-75.357433 39.981406)
Cvs Store #01036,2434 Catasauqua Road,Bethlehem,Lehigh,PA,18018,Moderna Vaccine,08/17/2021,140,POINT (-75.427282 40.642897)
Rite Aid 02277,1799 Third Street,Beaver,Beaver,PA,15009,Pfizer Vaccine,08/17/2021,450,
The Giant Company Store # 6083,539 N Oak Avenue,Aldan,Delaware,PA,19018,Moderna Vaccine,08/17/2021,140,POINT (-75.305801 39.932791)
The Giant Company Store # 6121,50 Briar Creek Plaza,Berwick,Columbia,PA,18603,Moderna Vaccine,08/17/2021,140,POINT (-76.274657 41.047728)
Giant Eagle Pharmacy #8991,2500 Lovi Road,Freedom,Beaver,PA,15042,Pfizer Vaccine,08/17/2021,9900,POINT (-80.151667 40.677382)
Rite Aid 10986,115 Perry Hwy Ste 146,Harmony,Butler,PA,16037,Pfizer Vaccine,08/17/2021,450,POINT (-80.137426 40.802972)
Rite Aid 01495,101 East Shirley Street,Mt Union,Huntingdon,PA,17066,Moderna Vaccine,08/17/2021,280,POINT (-77.879633 40.382688)
Rite Aid 00995,237 East Lancaster Avenue,Wayne,Chester,PA,19087,Pfizer Vaccine,08/17/2021,900,POINT (-75.382506 40.043761)
Rite Aid 02442,950 E Baltimore Ave,Lansdowne,Delaware,PA,19050,Pfizer Vaccine,08/17/2021,450,POINT (-75.25694 39.940962)
Sav-on Pharmacy,1067 W. Baltimore Pike,Media,Delaware,PA,19063,Moderna Vaccine,08/17/2021,140,POINT (-75.42909 39.914537)
Walmart Pharmacy #2167,270 Indian Run St,Exton,Chester,PA,19341,Pfizer Vaccine,08/17/2021,900,POINT (-75.630934 40.022771)
Village Pharmacy,1624 E Poland Rd,Bessemer,Lawrence,PA,16112,Moderna Vaccine,08/17/2021,140,POINT (-80.469431 40.975793)
Cvs Store #01606,37 Mahoning St.,Milton,Northumberland,PA,17847,Pfizer Vaccine,08/17/2021,450,POINT (-76.855954 41.015857)
Rite Aid 11058,241 North First Street,Lehighton,Carbon,PA,18235,Moderna Vaccine,08/17/2021,280,POINT (-75.709009 40.836329)
Cvs Store #17462,912 Airport Center Dr,Allentown,Lehigh,PA,18109,Moderna Vaccine,08/17/2021,140,POINT (-75.438893 40.638349)
Cvs Store #01624,5001 Jonestown Road,Harrisburg,Dauphin,PA,17112,Moderna Vaccine,08/17/2021,140,POINT (-76.805117 40.306954)
Rite Aid 11093,1039 2nd Street Pike,Richboro,Bucks,PA,18954,Moderna Vaccine,08/17/2021,280,POINT (-75.010447 40.216976)
Rite Aid 07924,2270 Noblestown Road,Pittsburgh,Allegheny,PA,15205,Pfizer Vaccine,08/17/2021,450,POINT (-80.053624 40.428118)
Walmart Pharmacy #2145,2601 Macarthur Rd,Whitehall,Lehigh,PA,18052,Moderna Vaccine,08/17/2021,140,POINT (-75.492227 40.644372)
Rite Aid 01021,401-403 South Main Street,Old Forge,Lackawanna,PA,18518,Moderna Vaccine,08/17/2021,280,POINT (-75.737012 41.368999)
Weis Markets Inc,5140 Simpson Ferry Rd,Mechanicsburg,Cumberland,PA,17050,Moderna Vaccine,08/17/2021,140,POINT (-76.975491 40.218958)
Rite Aid 02482,300 Market Street,Elizabeth,Allegheny,PA,15037,Pfizer Vaccine,08/17/2021,450,POINT (-79.886074 40.27239)
Cvs Store #01307,1300 N. Charlotte Street,Pottstown,Montgomery,PA,19464,Moderna Vaccine,08/17/2021,140,POINT (-75.627861 40.26529)
Rite Aid 01494,1120 Philadelphia Avenue,Northern Cambria,Cambria,PA,15714,Moderna Vaccine,08/17/2021,280,POINT (-78.78155 40.663348)
Rite Aid 01450,601 Delaware Avenue,Palmerton,Carbon,PA,18071,Moderna Vaccine,08/17/2021,280,POINT (-75.601388 40.805111)
Sav-on Pharmacy,567 Sproul Rd,Broomall,Delaware,PA,19008,Pfizer Vaccine,08/17/2021,450,
The Giant Company Store # 6291,698 Downingtown Pike,West Chester,Chester,PA,19380,Moderna Vaccine,08/17/2021,140,POINT (-75.62212 39.961848)
Cvs Store #01654,1700 North George Street,York,York,PA,17404,Pfizer Vaccine,08/17/2021,1350,POINT (-76.735242 39.984408)
Rite Aid 00850,8716 New Falls Road,Levittown,Bucks,PA,19054,Pfizer Vaccine,08/17/2021,450,POINT (-74.832188 40.173566)
Walgreens Store #10549,2801 Sharkys Dr,Latrobe,Westmoreland,PA,15650,Moderna Vaccine,08/17/2021,280,POINT (-79.389794 40.285861)
Rite Aid 10962,575 Morgantown Rd,Uniontown,Fayette,PA,15401,Pfizer Vaccine,08/17/2021,450,POINT (-79.73588 39.884464)
Rite Aid 10976,431 Commons Drive,Dubois,Clearfield,PA,15801,Moderna Vaccine,08/17/2021,280,POINT (-78.733627 41.124095)
The Giant Company Store # 6517,168 N Flowers Mill Road,Langhorne,Bucks,PA,19047,Moderna Vaccine,08/17/2021,140,POINT (-74.907509 40.181649)
Cvs Store #05734,2001 North 11th Street,Reading,Berks,PA,19604,Pfizer Vaccine,08/17/2021,450,POINT (-75.915328 40.36562)
Rite Aid 07772,33 W Ridge,Limerick,Montgomery,PA,19468,Pfizer Vaccine,08/17/2021,450,POINT (-75.502031 40.216321)
Rite Aid 01632,20 South River Street,Plains,Luzerne,PA,18705,Moderna Vaccine,08/17/2021,280,POINT (-75.85736 41.277351)
Rite Aid 11034,2600 Willow Street Pike N,Willow Street,Lancaster,PA,17584,Pfizer Vaccine,08/17/2021,450,POINT (-76.27983 39.984716)
Rite Aid 10922,200 Crafton Ingram Shp Ctr,Pittsburgh,Allegheny,PA,15205,Pfizer Vaccine,08/17/2021,450,POINT (-80.070081 40.441704)
Walmart Pharmacy #2252,3722 Easton Nazareth Hwy,Easton,Northampton,PA,18045,Pfizer Vaccine,08/17/2021,900,POINT (-75.284508 40.714167)
Rite Aid 00866,501 South 29th St Ste A,Harrisburg,Dauphin,PA,17104,Pfizer Vaccine,08/17/2021,450,POINT (-76.84129 40.267215)
Rite Aid 03425,807 South 4th Street,Hamburg,Berks,PA,19526,Pfizer Vaccine,08/17/2021,450,POINT (-75.977848 40.542133)
Krynicki Inc Dba Dierkens Pharmacy,100 E Main St,Monongahela,Washington,PA,15063,Moderna Vaccine,08/17/2021,140,POINT (-79.921912 40.199775)
Cvs Store #16966,3400 Wilkes-barre Township Commons,Wilkes Barre,Luzerne,PA,18702,Moderna Vaccine,08/17/2021,140,POINT (-75.84433 41.24163)
Pharmerica - King Of Prussia,489 Shoemaker Road,King Of Prussia,Montgomery,PA,19406,Moderna Vaccine,08/17/2021,280,POINT (-75.353077 40.082452)
The Giant Company Store # 6014,1278 S Market Street,Elizabethtown,Lancaster,PA,17022,Moderna Vaccine,08/17/2021,140,POINT (-76.590093 40.140095)
The Giant Company Store # 6300,3175 Cape Horn Road,Red Lion,York,PA,17356,Moderna Vaccine,08/17/2021,140,POINT (-76.630756 39.917342)
Cvs Store #01159,760 Miles Rd.,West Chester,Chester,PA,19380,Pfizer Vaccine,08/17/2021,450,POINT (-75.628143 39.963855)
The Giant Company Store # 6542,950 Walnut Bottom Road,Carlisle,Cumberland,PA,17015,Moderna Vaccine,08/17/2021,140,POINT (-77.214143 40.183335)
The Giant Company Store # 6012,2032 E Pleasant Vly Blvd,Altoona,Blair,PA,16602,Moderna Vaccine,08/17/2021,140,POINT (-78.339635 40.562816)
Professional Pharmacy Solutions,3124 Wilmington Rd,New Castle,Lawrence,PA,16105,Moderna Vaccine,08/17/2021,140,POINT (-80.356731 41.048431)
Walmart Pharmacy #2611,2100 Summit Ridge Plz,Mount Pleasant,Westmoreland,PA,15666,Moderna Vaccine,08/17/2021,140,POINT (-79.547845 40.127366)
Cvs Store #06916,560 Old York Road,New Cumberland,Cumberland,PA,17070,Moderna Vaccine,08/17/2021,140,POINT (-76.832458 40.176946)
Concept Pharmacy Services,639 Chestnut Street,Ashland,Schuylkill,PA,17921,Moderna Vaccine,08/17/2021,280,POINT (-76.346877 40.782195)
Walmart Pharmacy #3564,2101 Blair Mill Rd,Willow Grove,Montgomery,PA,19090,Pfizer Vaccine,08/17/2021,450,POINT (-75.143069 40.156956)
Rite Aid 04965,201 Grace Street,Pittsburgh,Allegheny,PA,15211,Pfizer Vaccine,08/17/2021,450,
Rite Aid 01894,2901 Carlisle Road,Dover,York,PA,17315,Pfizer Vaccine,08/17/2021,450,POINT (-76.814625 39.981991)
Cvs Store #17680,749 N Krocks Rd,Allentown,Lehigh,PA,18106,Moderna Vaccine,08/17/2021,140,POINT (-75.564037 40.565059)
Cvs Store #01891,"64 South Locust St.,",Hazleton,Luzerne,PA,18201,Moderna Vaccine,08/17/2021,140,POINT (-75.980916 40.954881)
Walgreens Store #11056,51 Baltimore Pike,Glen Mills,Delaware,PA,19342,Pfizer Vaccine,08/17/2021,1350,POINT (-75.486482 39.897101)
Sams Pharmacy #4859,200 Moraine Pointe Plz,Butler,Butler,PA,16001,Moderna Vaccine,08/17/2021,140,POINT (-79.951945 40.877804)
Cvs Store #17585,160 W Dekalb Pike,King Of Prussia,Montgomery,PA,19406,Moderna Vaccine,08/17/2021,140,POINT (-75.365794 40.093879)
Cvs Store #07611,4849 William Flynn Hwy.,Allison Park,Allegheny,PA,15101,Pfizer Vaccine,08/17/2021,450,POINT (-79.947572 40.599092)
